ID,DEFAULT,BALANCE,HOUSING,LOAN,
24459,no,17,no,no,
24460,no,64,no,no,
24461,no,46,no,yes,
24462,no,66,no,yes,
24463,no,2120,no,no,
24464,no,91,no,no,
24465,no,0,no,no,
24466,no,3,no,yes,
24467,no,27,yes,no,
24468,no,0,no,no,
24469,no,5547,yes,no,
24470,no,171,no,no,
24471,no,141,yes,no,
24472,no,60,no,no,
24473,no,8413,no,no,
24474,no,71,no,no,
24475,no,3228,no,no,
24476,no,605,no,no,
24477,yes,-401,yes,no,
24478,no,172,no,no,
24479,no,45,no,no,
24480,no,71,yes,no,
24481,no,266,yes,no,
24482,no,295,no,no,
24483,no,808,yes,no,
24484,no,0,no,no,
24485,no,971,no,no,
24486,no,401,no,no,
24487,no,1127,yes,no,
24488,no,0,no,no,
24489,no,119,no,no,
24490,no,-1,no,no,
24491,no,42,yes,no,
24492,no,-189,no,no,
24493,no,929,no,no,
24494,no,83,no,yes,
24495,no,950,no,no,
24496,no,0,no,no,
24497,no,56,no,no,
24498,no,0,no,no,
24499,no,114,no,no,
24500,no,487,yes,no,
24501,no,261,no,no,
24502,no,409,no,no,
24503,no,-408,no,no,
24504,no,0,no,yes,
24505,no,82,no,no,
24506,no,5,no,no,
24507,no,251,yes,no,
24508,no,0,no,no,
24509,no,227,yes,yes,
24510,no,451,yes,no,
24511,no,168,no,no,
24512,no,0,no,no,
24513,no,1465,no,no,
24514,no,297,no,no,
24515,no,11,no,no,
24516,no,-292,yes,no,
24517,no,1373,no,no,
24518,no,88,no,no,
24519,no,-1415,no,no,
24520,no,58,no,no,
24521,no,-133,no,no,
24522,no,420,no,no,
24523,no,47,no,no,
24524,no,1,no,no,
24525,no,0,no,no,
24526,no,8,no,no,
24527,no,3429,no,no,
24528,no,-58,no,yes,
24529,no,5401,no,no,
24530,no,1625,yes,no,
24531,no,-291,no,no,
24532,no,0,no,no,
24533,no,29,no,no,
24534,no,0,no,no,
24535,no,966,yes,yes,
24536,no,0,no,no,
24537,yes,18,no,yes,
24538,no,86,yes,no,
24539,no,0,no,no,
24540,no,299,no,no,
24541,no,2666,no,no,
24542,no,7135,no,no,
24543,no,1072,no,no,
24544,no,60,no,no,
24545,no,5,no,no,
24546,no,5,no,no,
24547,no,179,no,no,
24548,no,0,no,no,
24549,no,46,no,no,
24550,no,123,no,no,
24551,no,1205,no,no,
24552,no,258,no,yes,
24553,no,3,no,no,
24554,no,0,no,no,
24555,no,0,no,no,
24556,no,3820,no,no,
24557,no,268,no,no,
24558,no,167,no,no,
24559,no,266,no,no,
24560,no,-225,no,no,
24561,no,96,no,no,
24562,no,559,no,no,
24563,no,347,no,no,
24564,no,850,no,no,
24565,no,128,no,no,
24566,no,3576,yes,no,
24567,no,0,no,no,
24568,no,30,no,no,
24569,no,147,no,no,
24570,no,19,no,yes,
24571,no,1361,no,no,
24572,no,57,no,no,
24573,no,1840,no,no,
24574,no,20,no,no,
24575,no,81,no,no,
24576,no,-240,no,no,
24577,no,0,no,no,
24578,no,151,no,no,
24579,no,370,yes,no,
24580,no,0,no,no,
24581,no,497,no,no,
24582,no,15302,no,no,
24583,no,218,no,no,
24584,no,50,no,no,
24585,no,329,no,no,
24586,no,1109,yes,no,
24587,no,1802,no,no,
24588,no,2013,no,no,
24589,no,0,no,no,
24590,no,0,no,no,
24591,no,1687,no,no,
24592,no,459,no,no,
24593,no,600,no,no,
24594,no,85,no,no,
24595,no,1750,no,no,
24596,no,260,no,no,
24597,no,606,yes,no,
24598,no,2671,no,no,
24599,no,174,no,yes,
24600,no,428,no,no,
24601,no,238,no,no,
24602,no,39,no,no,
24603,no,1661,no,no,
24604,no,0,no,no,
24605,no,370,no,no,
24606,no,0,no,no,
24607,no,96,yes,yes,
24608,no,191,no,no,
24609,no,123,no,no,
24610,no,329,no,no,
24611,no,445,no,no,
24612,no,1344,no,no,
24613,no,605,no,no,
24614,no,1402,no,no,
24615,no,396,no,yes,
24616,no,82,no,no,
24617,no,61,no,no,
24618,no,-1217,yes,no,
24619,no,72,no,no,
24620,no,2324,yes,no,
24621,no,226,no,no,
24622,no,5878,no,no,
24623,no,3345,yes,no,
24624,no,101,no,no,
24625,yes,-634,no,no,
24626,no,0,no,no,
24627,no,1412,yes,no,
24628,no,0,no,no,
24629,no,1,no,no,
24630,no,677,no,no,
24631,no,-165,yes,no,
24632,no,979,yes,no,
24633,no,852,no,no,
24634,no,7,no,no,
24635,no,264,no,no,
24636,no,488,no,no,
24637,no,1339,no,no,
24638,no,0,no,no,
24639,no,233,no,no,
24640,no,168,no,no,
24641,no,75,no,no,
24642,no,439,no,no,
24643,no,8,no,no,
24644,no,180,yes,no,
24645,no,52,no,no,
24646,no,5561,no,no,
24647,no,11,yes,yes,
24648,no,11,no,no,
24649,no,314,no,no,
24650,no,798,no,no,
24651,no,591,no,no,
24652,no,223,no,no,
24653,no,452,no,no,
24654,yes,-20,no,no,
24655,no,3048,no,yes,
24656,no,26,no,no,
24657,no,30,no,no,
24658,yes,-374,no,yes,
24659,no,956,yes,yes,
24660,no,839,yes,no,
24661,no,331,yes,no,
24662,no,0,yes,no,
24663,no,0,no,no,
24664,no,0,no,no,
24665,no,705,no,no,
24666,no,689,no,no,
24667,yes,-12,no,no,
24668,no,2294,no,no,
24669,no,375,no,no,
24670,no,404,no,no,
24671,yes,7,no,yes,
24672,no,0,no,no,
24673,no,2228,yes,no,
24674,no,-33,no,no,
24675,no,2320,no,yes,
24676,no,4328,no,no,
24677,no,1626,no,no,
24678,no,194,no,no,
24679,no,-163,yes,no,
24680,no,310,yes,no,
24681,no,367,no,no,
24682,no,51,no,no,
24683,no,1,no,no,
24684,no,160,no,no,
24685,no,0,no,no,
24686,no,2802,no,no,
24687,no,15,no,no,
24688,no,177,no,no,
24689,no,0,no,no,
24690,no,164,no,no,
24691,no,0,no,no,
24692,no,260,no,no,
24693,no,0,yes,no,
24694,no,27,no,no,
24695,no,1431,no,no,
24696,no,111,no,no,
24697,no,182,no,no,
24698,no,0,no,no,
24699,no,570,no,no,
24700,no,47,no,no,
24701,no,1572,no,no,
24702,no,511,no,yes,
24703,no,23,no,no,
24704,no,141,no,no,
24705,no,227,no,no,
24706,no,1357,yes,no,
24707,no,2069,no,no,
24708,no,374,no,no,
24709,no,75,no,no,
24710,no,124,no,no,
24711,no,47,no,no,
24712,no,1196,no,no,
24713,no,107,no,no,
24714,no,469,no,yes,
24715,no,11,no,no,
24716,no,565,no,no,
24717,no,2584,no,no,
24718,no,0,no,no,
24719,no,46,no,no,
24720,no,19,no,no,
24721,no,0,no,no,
24722,no,1390,no,no,
24723,no,79,yes,no,
24724,no,0,no,no,
24725,no,114,no,no,
24726,no,38,no,no,
24727,yes,56,no,no,
24728,no,536,no,no,
24729,no,1194,no,yes,
24730,no,5060,yes,no,
24731,no,0,no,no,
24732,no,100,no,no,
24733,no,569,no,no,
24734,no,541,no,yes,
24735,no,149,no,no,
24736,no,0,yes,yes,
24737,no,681,no,no,
24738,no,881,no,no,
24739,no,1218,no,no,
24740,no,128,no,no,
24741,no,112,no,no,
24742,no,-584,no,no,
24743,no,248,no,no,
24744,no,0,no,no,
24745,no,432,no,no,
24746,no,4,no,no,
24747,no,300,no,no,
24748,no,68,no,yes,
24749,no,0,no,no,
24750,no,-22,yes,no,
24751,no,-318,no,no,
24752,no,35,no,no,
24753,no,0,no,no,
24754,no,78,no,no,
24755,no,3,no,no,
24756,no,169,no,yes,
24757,no,-39,yes,no,
24758,no,1553,no,no,
24759,no,51,no,yes,
24760,no,792,no,no,
24761,no,-96,no,yes,
24762,no,69,no,no,
24763,no,20,no,no,
24764,no,251,no,no,
24765,no,0,no,no,
24766,no,2,no,yes,
24767,no,414,no,no,
24768,no,-4,no,no,
24769,no,587,no,no,
24770,no,0,no,no,
24771,no,1144,no,no,
24772,no,15,yes,yes,
24773,no,687,no,no,
24774,no,83,yes,no,
24775,no,417,no,no,
24776,no,173,no,no,
24777,no,337,yes,no,
24778,no,9,no,yes,
24779,no,638,yes,no,
24780,no,228,yes,no,
24781,no,51,no,no,
24782,no,143,no,no,
24783,no,-219,no,yes,
24784,no,356,no,no,
24785,no,-153,no,no,
24786,no,344,yes,no,
24787,no,1014,no,no,
24788,no,138,no,no,
24789,no,22546,yes,no,
24790,no,156,no,no,
24791,no,-146,yes,yes,
24792,no,224,no,no,
24793,no,145,no,no,
24794,no,109,no,yes,
24795,no,715,no,no,
24796,no,275,no,no,
24797,no,49,yes,no,
24798,no,1044,yes,no,
24799,no,2130,no,no,
24800,no,3440,no,no,
24801,no,507,no,no,
24802,no,179,no,yes,
24803,no,93,no,no,
24804,no,620,yes,no,
24805,no,7649,no,no,
24806,no,988,no,no,
24807,no,101,no,no,
24808,no,208,no,no,
24809,no,397,yes,no,
24810,no,0,no,no,
24811,no,3,no,no,
24812,no,238,no,no,
24813,no,116,yes,no,
24814,no,361,no,no,
24815,no,2244,no,yes,
24816,no,242,yes,no,
24817,yes,130,no,no,
24818,no,51,no,no,
24819,no,1614,no,no,
24820,no,294,no,no,
24821,no,24,yes,no,
24822,no,0,no,no,
24823,no,0,no,no,
24824,no,439,yes,no,
24825,no,16,no,no,
24826,no,110,yes,yes,
24827,no,7743,no,no,
24828,no,-18,yes,no,
24829,no,2403,no,no,
24830,no,1912,yes,no,
24831,no,0,no,no,
24832,no,163,yes,no,
24833,no,665,yes,no,
24834,no,5004,no,no,
24835,no,3547,no,no,
24836,no,196,yes,no,
24837,no,481,no,no,
24838,no,790,no,no,
24839,no,198,no,no,
24840,no,106,no,no,
24841,no,159,no,no,
24842,no,304,no,no,
24843,no,0,no,no,
24844,no,1717,no,no,
24845,no,52,no,no,
24846,no,2465,no,no,
24847,no,0,no,no,
24848,no,375,no,no,
24849,no,0,no,no,
24850,no,1143,yes,no,
24851,no,390,no,no,
24852,no,0,no,no,
24853,no,208,no,no,
24854,no,70,no,no,
24855,no,0,yes,no,
24856,no,80,no,no,
24857,no,7631,no,no,
24858,no,247,no,no,
24859,no,2085,yes,no,
24860,no,2568,no,no,
24861,no,584,yes,no,
24862,no,221,no,no,
24863,no,526,yes,no,
24864,no,2328,no,no,
24865,no,432,no,no,
24866,no,0,yes,no,
24867,no,396,yes,no,
24868,no,12,no,no,
24869,no,0,no,no,
24870,no,1555,no,no,
24871,no,2014,no,no,
24872,no,23,no,no,
24873,no,236,no,no,
24874,no,19,no,no,
24875,no,1088,no,no,
24876,no,79,yes,no,
24877,no,385,no,no,
24878,no,215,no,no,
24879,no,324,no,no,
24880,no,558,yes,no,
24881,no,34,no,no,
24882,no,913,no,no,
24883,no,651,no,no,
24884,no,744,no,no,
24885,no,36,no,no,
24886,no,123,no,no,
24887,no,-305,no,yes,
24888,no,8000,yes,no,
24889,no,-23,no,yes,
24890,no,20794,no,no,
24891,no,47,no,yes,
24892,no,10890,no,no,
24893,no,601,no,no,
24894,no,35,yes,no,
24895,no,3250,no,no,
24896,no,0,no,no,
24897,no,1170,no,no,
24898,no,0,no,no,
24899,no,1567,yes,no,
24900,no,0,no,no,
24901,no,3486,no,no,
24902,no,35,no,no,
24903,yes,-432,yes,yes,
24904,no,909,no,no,
24905,no,63,no,no,
24906,no,30,no,no,
24907,no,253,no,no,
24908,no,99,no,no,
24909,no,56,no,no,
24910,no,185,no,no,
24911,no,644,no,no,
24912,no,205,no,no,
24913,no,990,no,no,
24914,yes,0,no,no,
24915,no,0,no,no,
24916,no,185,no,no,
24917,no,1224,no,no,
24918,no,0,no,no,
24919,no,310,no,no,
24920,no,109,no,yes,
24921,no,35,no,no,
24922,no,1246,no,no,
24923,no,572,no,no,
24924,no,196,no,no,
24925,no,-3,no,no,
24926,no,13,no,no,
24927,no,52527,no,no,
24928,no,5,no,no,
24929,no,0,no,no,
24930,no,213,no,no,
24931,no,0,no,no,
24932,no,1805,no,no,
24933,yes,9,no,no,
24934,no,0,no,no,
24935,no,0,no,no,
24936,no,-31,no,no,
24937,no,358,no,no,
24938,no,0,no,no,
24939,no,51,yes,no,
24940,yes,24,no,no,
24941,no,0,no,no,
24942,no,0,no,no,
24943,no,988,no,no,
24944,no,0,no,no,
24945,no,492,no,yes,
24946,yes,-337,no,yes,
24947,no,243,no,no,
24948,no,102,yes,no,
24949,no,1485,no,no,
24950,no,287,yes,no,
24951,no,83,yes,no,
24952,no,666,no,no,
24953,yes,0,no,yes,
24954,no,422,no,no,
24955,no,147,no,no,
24956,no,-123,no,yes,
24957,no,388,no,no,
24958,no,0,no,no,
24959,no,9,no,no,
24960,no,28,no,no,
24961,no,0,no,no,
24962,no,1960,yes,no,
24963,no,73,no,no,
24964,no,244,no,no,
24965,no,196,no,no,
24966,no,4,yes,no,
24967,no,0,no,no,
24968,no,2295,no,no,
24969,no,924,no,no,
24970,yes,-210,no,yes,
24971,no,1130,no,no,
24972,no,13156,no,no,
24973,no,167,no,no,
24974,no,468,no,no,
24975,no,0,no,no,
24976,no,4948,no,no,
24977,no,430,no,yes,
24978,no,0,no,no,
24979,no,-1,no,no,
24980,no,1251,no,yes,
24981,no,65,no,no,
24982,no,22,no,no,
24983,no,11,no,no,
24984,no,0,no,no,
24985,no,150,no,no,
24986,no,96,no,no,
24987,no,3995,no,no,
24988,no,249,no,no,
24989,no,144,no,no,
24990,no,0,no,no,
24991,no,15,no,no,
24992,no,0,no,no,
24993,no,0,no,no,
24994,no,502,no,no,
24995,no,2066,no,yes,
24996,no,0,no,no,
24997,no,39,no,no,
24998,no,-255,yes,no,
24999,no,1032,yes,no,
25000,no,0,no,no,
25001,no,404,no,no,
25002,no,8,no,no,
25003,no,8,no,no,
25004,no,0,yes,no,
25005,no,307,no,no,
25006,no,-970,no,yes,
25007,no,2887,no,no,
25008,no,1498,no,yes,
25009,no,886,yes,no,
25010,no,104,no,no,
25011,no,9,no,no,
25012,no,121,no,no,
25013,no,0,no,no,
25014,no,91,no,no,
25015,no,0,no,no,
25016,no,562,no,no,
25017,no,1354,no,no,
25018,no,225,no,no,
25019,no,423,yes,no,
25020,no,46,no,no,
25021,no,20,no,no,
25022,no,564,no,no,
25023,no,533,no,no,
25024,no,509,no,yes,
25025,no,438,no,no,
25026,no,77,no,no,
25027,no,176,no,no,
25028,no,400,no,no,
25029,no,2008,no,no,
25030,no,727,no,no,
25031,no,17,no,no,
25032,no,506,no,no,
25033,no,75,no,no,
25034,no,5060,yes,no,
25035,no,31,no,no,
25036,no,1179,no,no,
25037,no,26,no,no,
25038,no,433,no,no,
25039,no,110,no,no,
25040,no,0,no,no,
25041,no,2109,no,no,
25042,no,28,no,no,
25043,no,226,no,no,
25044,no,0,no,no,
25045,no,134,no,no,
25046,no,0,no,no,
25047,no,0,no,no,
25048,no,1501,no,no,
25049,no,278,no,no,
25050,no,0,no,no,
25051,no,-477,no,yes,
25052,no,1446,no,no,
25053,no,0,no,no,
25054,no,105,no,yes,
25055,no,0,no,no,
25056,no,0,no,no,
25057,no,18,no,no,
25058,no,1981,no,no,
25059,no,905,no,yes,
25060,no,700,yes,no,
25061,no,424,no,no,
25062,no,86,yes,no,
25063,no,-459,no,no,
25064,no,1401,no,no,
25065,no,6619,yes,no,
25066,no,7635,no,no,
25067,no,440,no,no,
25068,no,468,no,no,
25069,no,0,no,no,
25070,no,1694,no,no,
25071,no,284,no,no,
25072,no,292,no,no,
25073,no,0,no,no,
25074,no,202,yes,no,
25075,no,-18,no,no,
25076,no,137,yes,yes,
25077,yes,549,no,no,
25078,no,0,no,no,
25079,no,8097,no,yes,
25080,no,518,no,no,
25081,no,557,yes,no,
25082,no,151,no,no,
25083,no,11,yes,no,
25084,no,21,no,no,
25085,no,0,no,no,
25086,no,55,no,no,
25087,no,744,yes,yes,
25088,no,510,yes,no,
25089,no,1,no,no,
25090,no,7621,no,no,
25091,no,196,no,no,
25092,no,25,yes,no,
25093,no,161,no,no,
25094,no,57,no,no,
25095,no,197,no,yes,
25096,no,400,no,no,
25097,no,291,no,no,
25098,no,0,no,no,
25099,no,0,no,no,
25100,no,990,no,no,
25101,no,316,no,no,
25102,no,0,no,no,
25103,no,41,no,no,
25104,no,84,yes,no,
25105,no,351,no,no,
25106,no,0,no,no,
25107,no,154,no,yes,
25108,no,38,no,no,
25109,no,644,no,no,
25110,no,1363,no,no,
25111,no,161,no,no,
25112,no,178,no,no,
25113,no,206,no,no,
25114,no,462,no,no,
25115,no,70,no,no,
25116,no,4144,no,no,
25117,no,0,yes,yes,
25118,no,0,no,no,
25119,no,11,no,no,
25120,no,4,no,no,
25121,no,25,no,no,
25122,no,0,no,no,
25123,no,355,no,no,
25124,no,3279,no,no,
25125,no,22,no,no,
25126,no,0,no,yes,
25127,no,37,no,no,
25128,no,318,no,no,
25129,no,0,no,no,
25130,no,0,no,no,
25131,no,69,no,no,
25132,no,1090,no,no,
25133,no,255,no,no,
25134,no,109,no,no,
25135,no,454,no,no,
25136,no,13,no,no,
25137,no,0,no,no,
25138,no,0,no,no,
25139,no,0,no,no,
25140,no,50,no,no,
25141,no,70,no,no,
25142,no,2384,no,yes,
25143,no,278,no,no,
25144,no,-146,yes,no,
25145,no,1898,no,no,
25146,no,254,no,no,
25147,no,1580,no,no,
25148,no,0,no,no,
25149,yes,6,no,no,
25150,no,0,no,no,
25151,no,6,no,no,
25152,no,58,no,no,
25153,no,664,no,no,
25154,no,0,no,no,
25155,no,38,no,no,
25156,no,1344,no,no,
25157,no,11305,no,no,
25158,no,-158,no,no,
25159,no,15449,no,no,
25160,no,1339,yes,no,
25161,no,22,no,no,
25162,no,516,no,no,
25163,no,29,no,yes,
25164,no,260,yes,no,
25165,no,18,no,no,
25166,no,32,no,yes,
25167,no,42,no,no,
25168,no,229,no,no,
25169,no,-420,no,no,
25170,no,0,no,no,
25171,no,1227,no,no,
25172,no,0,no,no,
25173,no,183,no,no,
25174,no,981,no,no,
25175,no,532,no,no,
25176,no,398,yes,no,
25177,no,0,no,no,
25178,no,27,no,no,
25179,no,0,no,no,
25180,no,1109,no,no,
25181,no,255,no,no,
25182,no,580,no,no,
25183,yes,0,no,yes,
25184,no,27,no,no,
25185,no,573,yes,yes,
25186,no,98,no,no,
25187,no,522,no,no,
25188,no,94,no,no,
25189,no,147,no,no,
25190,no,965,no,no,
25191,no,14,no,no,
25192,no,1328,no,no,
25193,no,0,no,no,
25194,no,366,no,yes,
25195,no,0,no,no,
25196,no,95,no,no,
25197,no,139,no,no,
25198,no,0,no,no,
25199,no,149,no,no,
25200,no,-164,no,no,
25201,no,196,no,no,
25202,no,321,no,no,
25203,no,415,no,no,
25204,no,109,no,no,
25205,no,183,no,no,
25206,no,308,no,no,
25207,no,99,no,no,
25208,no,1536,no,no,
25209,no,189,no,no,
25210,no,0,no,no,
25211,no,546,no,no,
25212,no,0,no,no,
25213,no,267,no,no,
25214,no,225,no,no,
25215,no,-195,no,no,
25216,no,36,no,no,
25217,no,347,no,no,
25218,no,-44,no,yes,
25219,no,1109,no,no,
25220,no,0,no,no,
25221,no,0,no,no,
25222,no,575,no,no,
25223,no,357,no,no,
25224,no,4889,no,no,
25225,no,419,no,no,
25226,no,0,no,no,
25227,no,478,yes,no,
25228,no,1,no,no,
25229,no,0,no,no,
25230,yes,-172,no,no,
25231,no,334,no,no,
25232,no,10215,no,no,
25233,no,20,no,no,
25234,no,1335,no,no,
25235,no,31,no,no,
25236,no,0,no,no,
25237,no,0,no,no,
25238,no,0,no,no,
25239,no,23,no,no,
25240,no,4570,no,no,
25241,no,-126,no,no,
25242,no,34,no,no,
25243,no,0,no,no,
25244,no,1048,no,no,
25245,no,25,no,no,
25246,no,221,no,no,
25247,no,0,no,no,
25248,no,388,yes,no,
25249,no,447,no,yes,
25250,no,796,no,no,
25251,no,328,no,no,
25252,no,599,no,no,
25253,no,3168,no,no,
25254,no,0,no,no,
25255,no,4636,no,no,
25256,no,890,no,no,
25257,no,100,no,no,
25258,no,1982,yes,yes,
25259,no,0,no,no,
25260,no,23495,no,no,
25261,no,19,no,no,
25262,no,0,no,no,
25263,no,0,no,no,
25264,no,371,no,no,
25265,no,767,no,no,
25266,no,864,no,no,
25267,no,1520,no,no,
25268,no,1623,no,no,
25269,no,215,no,yes,
25270,no,994,no,no,
25271,no,54,no,no,
25272,no,1324,no,no,
25273,no,125,no,no,
25274,no,0,no,no,
25275,no,370,no,no,
25276,no,1341,no,no,
25277,no,90,no,no,
25278,no,296,no,no,
25279,no,179,no,no,
25280,no,13,no,no,
25281,no,0,no,no,
25282,no,5,no,no,
25283,no,1075,no,no,
25284,no,3601,no,no,
25285,no,396,no,no,
25286,no,139,no,no,
25287,no,559,no,no,
25288,no,0,no,no,
25289,no,-298,no,no,
25290,no,0,no,no,
25291,no,211,no,no,
25292,no,473,no,no,
25293,yes,-26,no,no,
25294,no,154,no,no,
25295,no,276,yes,no,
25296,no,6,no,no,
25297,no,282,no,no,
25298,no,145,no,no,
25299,no,195,no,no,
25300,no,80,no,no,
25301,no,273,no,no,
25302,no,7907,yes,yes,
25303,no,333,no,no,
25304,no,0,no,no,
25305,no,11,no,no,
25306,no,331,no,no,
25307,no,1898,yes,no,
25308,no,13165,yes,yes,
25309,no,2939,no,no,
25310,no,335,no,no,
25311,no,1052,no,no,
25312,no,0,no,no,
25313,no,112,no,no,
25314,no,9346,no,no,
25315,no,234,no,no,
25316,no,1496,yes,no,
25317,no,1920,no,no,
25318,no,2944,no,no,
25319,no,701,no,no,
25320,no,1,no,no,
25321,no,-6,no,yes,
25322,no,296,no,no,
25323,no,5049,no,no,
25324,no,26,no,no,
25325,no,2,no,no,
25326,no,882,no,no,
25327,no,817,yes,no,
25328,no,1383,no,no,
25329,no,144,no,no,
25330,no,696,no,no,
25331,no,2110,yes,no,
25332,no,682,no,no,
25333,no,82,no,no,
25334,no,656,yes,no,
25335,no,981,no,no,
25336,no,10,no,no,
25337,no,508,no,no,
25338,no,286,no,no,
25339,no,0,no,no,
25340,no,469,no,no,
25341,no,502,no,no,
25342,no,0,no,no,
25343,no,57,no,no,
25344,no,857,yes,no,
25345,no,-201,yes,no,
25346,no,159,yes,no,
25347,no,463,no,no,
25348,no,994,no,no,
25349,no,1256,yes,no,
25350,no,47,no,no,
25351,no,71,no,no,
25352,no,17,no,no,
25353,yes,72,no,no,
25354,no,968,yes,no,
25355,no,0,no,no,
25356,no,195,yes,no,
25357,no,1006,no,no,
25358,no,3,no,no,
25359,no,4,no,no,
25360,no,131,no,no,
25361,no,137,no,no,
25362,no,318,no,no,
25363,no,0,no,no,
25364,no,1207,no,no,
25365,no,30,no,no,
25366,no,2950,yes,no,
25367,no,141,yes,yes,
25368,no,0,no,no,
25369,no,1575,yes,no,
25370,no,1336,no,no,
25371,no,5809,yes,no,
25372,no,0,no,no,
25373,no,0,no,no,
25374,no,140,no,no,
25375,no,4990,yes,no,
25376,no,1598,no,no,
25377,no,354,no,yes,
25378,no,0,no,no,
25379,no,433,no,no,
25380,no,33,yes,yes,
25381,no,443,no,no,
25382,no,0,no,no,
25383,no,263,no,no,
25384,no,664,no,no,
25385,no,712,yes,yes,
25386,no,527,no,no,
25387,no,548,no,no,
25388,no,88,yes,no,
25389,no,42,no,no,
25390,no,373,no,no,
25391,no,55,no,no,
25392,no,0,no,no,
25393,no,43,no,no,
25394,no,2322,no,no,
25395,no,127,no,no,
25396,no,0,no,no,
25397,no,150,no,no,
25398,no,65,no,no,
25399,no,156,no,no,
25400,no,12766,no,no,
25401,no,336,no,no,
25402,no,261,no,no,
25403,no,1308,no,no,
25404,no,0,no,no,
25405,no,0,no,no,
25406,no,287,no,no,
25407,no,0,no,no,
25408,no,2861,no,no,
25409,no,871,no,no,
25410,no,1725,no,no,
25411,no,18,no,no,
25412,no,445,no,no,
25413,no,0,no,no,
25414,no,298,no,no,
25415,no,-517,yes,yes,
25416,no,632,no,no,
25417,no,2519,no,no,
25418,no,475,no,no,
25419,no,2043,no,no,
25420,no,468,no,no,
25421,no,75,no,no,
25422,no,23,no,no,
25423,no,94,no,no,
25424,no,4709,no,no,
25425,no,2762,no,no,
25426,no,6264,no,no,
25427,no,1064,no,no,
25428,no,702,no,no,
25429,no,316,no,no,
25430,no,26,no,no,
25431,no,304,no,no,
25432,no,176,no,yes,
25433,no,4354,yes,no,
25434,no,130,no,no,
25435,no,49,no,yes,
25436,no,321,no,no,
25437,no,-18,no,yes,
25438,no,1,no,no,
25439,no,79,no,yes,
25440,no,349,no,no,
25441,no,0,no,no,
25442,no,239,no,no,
25443,no,397,no,no,
25444,no,0,no,no,
25445,no,102,no,no,
25446,no,655,yes,no,
25447,no,394,no,no,
25448,no,441,yes,yes,
25449,no,0,no,no,
25450,no,465,no,no,
25451,no,-466,no,no,
25452,no,2,no,no,
25453,no,369,yes,no,
25454,no,56,no,no,
25455,no,0,no,no,
25456,no,29,no,no,
25457,no,635,no,no,
25458,no,34,no,no,
25459,no,15,no,no,
25460,no,2172,yes,no,
25461,no,0,no,no,
25462,no,41,no,no,
25463,no,46,no,no,
25464,no,830,no,no,
25465,no,63,no,no,
25466,no,126,no,no,
25467,no,0,no,no,
25468,no,0,no,no,
25469,no,8971,no,no,
25470,no,11,no,no,
25471,no,24,no,no,
25472,no,583,yes,no,
25473,no,818,no,no,
25474,no,963,no,no,
25475,no,234,no,no,
25476,no,140,no,no,
25477,no,0,no,no,
25478,no,299,no,no,
25479,no,52,no,no,
25480,no,53,no,no,
25481,no,26394,no,no,
25482,no,1385,no,no,
25483,no,4028,no,yes,
25484,no,0,no,no,
25485,no,520,no,no,
25486,no,3518,yes,no,
25487,no,19,no,no,
25488,no,115,no,no,
25489,no,135,no,no,
25490,no,591,yes,no,
25491,no,86,no,no,
25492,no,0,no,no,
25493,no,0,no,no,
25494,no,77,no,no,
25495,no,381,no,yes,
25496,no,0,no,no,
25497,no,-3,no,no,
25498,no,-32,no,no,
25499,no,0,no,no,
25500,no,155,no,no,
25501,no,0,no,no,
25502,no,6271,yes,no,
25503,no,137,no,no,
25504,no,119,no,no,
25505,no,185,no,no,
25506,no,1083,no,no,
25507,no,2039,no,no,
25508,no,967,no,no,
25509,no,275,yes,no,
25510,no,47,no,no,
25511,no,1235,no,no,
25512,yes,4,yes,yes,
25513,no,3874,no,no,
25514,no,9,no,no,
25515,no,136,no,no,
25516,no,467,no,no,
25517,no,161,no,no,
25518,no,581,no,no,
25519,no,676,no,no,
25520,no,9,no,yes,
25521,no,1840,yes,no,
25522,no,0,no,no,
25523,no,830,no,no,
25524,no,237,no,no,
25525,no,384,no,no,
25526,no,566,no,no,
25527,no,1083,no,no,
25528,no,394,no,no,
25529,no,2350,no,no,
25530,no,635,no,no,
25531,no,9135,yes,no,
25532,no,3197,no,no,
25533,no,1174,no,no,
25534,no,79,yes,no,
25535,no,575,no,no,
25536,no,631,yes,no,
25537,no,96,no,no,
25538,no,343,no,no,
25539,no,519,yes,no,
25540,no,221,no,yes,
25541,no,1860,no,no,
25542,no,0,no,no,
25543,no,470,no,no,
25544,no,52,no,no,
25545,no,211,no,no,
25546,no,246,no,no,
25547,no,597,no,no,
25548,no,-2,no,yes,
25549,no,-75,no,yes,
25550,no,0,no,no,
25551,no,1232,no,no,
25552,no,175,no,no,
25553,no,545,yes,no,
25554,no,5380,no,no,
25555,no,46,no,no,
25556,no,0,no,no,
25557,no,2054,no,no,
25558,no,112,no,no,
25559,no,1990,yes,yes,
25560,no,0,no,no,
25561,no,369,no,no,
25562,no,0,yes,no,
25563,no,745,no,yes,
25564,no,-41,no,yes,
25565,no,0,no,no,
25566,no,283,no,no,
25567,no,603,no,no,
25568,no,214,no,no,
25569,no,3694,no,no,
25570,yes,-68,yes,yes,
25571,no,171,no,no,
25572,no,-124,no,no,
25573,no,2650,no,no,
25574,no,584,yes,no,
25575,no,905,no,no,
25576,no,21,yes,no,
